Номер;Описание изменения;Текущий статус изменения;Бизнес-решение;Дата регистрации ЗНИ;Плановая дата выхода из текущего статуса;Дата реализации на старте;Дата реализации с текущим статусом;Просрочка, дней
5500030782;Связь ММ-цепочки и Авансовых платежей;В разработке ЧТЗ;SAPFIR;30.09.2021;31.12.2021;16.03.2022;16.06.2022;92
5500030783;Доработка отчета ZITSKQM503;Оценка объема работ;OFERTA;30.09.2021;10.01.2022;15.03.2022;20.06.2022;97
5500030784;Новый раздел на сайте https://supply.gaz;В работе;CREPIS;30.09.2021;23.11.2021;06.03.2022;29.04.2022;54
5500030785;Автоматизация планирования расходов на 4;В согласовании.Менеджер процесса;SAPFIR;30.09.2021;10.12.2021;07.03.2022;15.05.2022;69
5500030786;Суточная добыча в КХД БЭФ;В разработке ЧТЗ;KSHD;30.09.2021;31.03.2022;01.06.2022;30.11.2022;182
5500030787;Суточная добыча в КХД БЭФ;В согласовании.Владелец шаблона;RHD_BRD;30.09.2021;06.10.2021;23.04.2022;27.04.2022;4
5500030788;Доработка функционала работы с планами к;Закрыт;WEB_TUTOR;30.09.2021;-;;;-
5500030789;Подключение нового ДО к к разделу АХО на;Отклонен;PORTALSELF;30.09.2021;-;;;-
5500030790;Номер обращения в уведомлении о согласов;В ожидании акта от подрядчика;KSUIT;30.09.2021;17.03.2022;03.02.2022;17.03.2022;41
5500030792;Уведомления о автоматическом выходе обра;В ожидании акта от подрядчика;KSUIT;30.09.2021;17.03.2022;03.02.2022;17.03.2022;41
5500030794;(ШУЗ) Запрет изменения принимающего скла;В работе;OFERTA;01.10.2021;27.01.2022;04.03.2022;30.06.2022;118
5500030795;Разработать программы по массовому созда;Закрыт;SAPFIR;01.10.2021;-;;;-
5500030796;Консолидац ГПН-Казахстан ОК, ГПН-Азия ОК;В работе;SAP_HR;01.10.2021;21.01.2022;17.03.2022;07.07.2022;112
5500030798;АСУЗ;В согласовании.Дополн. участник согласования;OFERTA;04.10.2021;15.11.2021;23.03.2022;02.05.2022;40
5500030799;Информирование о шагах заказа;В разработке ЧТЗ;OFERTA;04.10.2021;31.12.2021;19.03.2022;15.06.2022;88
5500030800;Загрузка ФИАС в 1С КСУ НСИ ПД;Отклонен;KSU_NSI;04.10.2021;-;;;-
5500030801;«Для обеспечения корректной интеграции м;В работе;OIS_PLUS;01.10.2021;29.12.2021;29.08.2022;26.11.2022;89
5500030802;825 (ЧТЗ 11.) Основные средства и объект;Отклонен;ERP_KFSCH;01.10.2021;-;;;-
5500030803;Интеграция SAP с ИС Атлас;В разработке ЧТЗ;KSUI;01.10.2021;11.03.2022;02.05.2022;10.10.2022;161
5500030804;Расширение реплики ИС СМБ на платформе К;Согласование ЧТЗ Инициатором;SMB;01.10.2021;08.12.2021;23.05.2022;30.07.2022;68
5500030805;Расширение реплики ИС Эра-Ремонты на пла;В согласовании.Владелец шаблона;ERA_REM;01.10.2021;11.10.2021;22.02.2022;02.03.2022;8
5500030806;БРД_1С_ERP_ЧТЗ_701_Формирование затрат п;В ожидании акта от подрядчика;ERP_KFSCH;04.10.2021;11.03.2022;07.01.2022;11.03.2022;62
5500030807;Корректировка СМБ.Монитор модуля режим а;В разработке ЧТЗ;SMB;04.10.2021;31.12.2021;26.05.2022;22.08.2022;88
5500030808;Интеграция ЦП КОМПАС: Портал адаптаци;В разработке ЧТЗ;KSHD;04.10.2021;14.04.2022;05.06.2022;14.12.2022;192
5500030809;Расширение структуры транзакционных данн;В разработке ЧТЗ;KSHD;04.10.2021;28.03.2022;05.06.2022;27.11.2022;175
5500030810;Расширение структуры транзакционных данн;В разработке ЧТЗ;ERP_KFSCH;04.10.2021;28.02.2022;31.01.2022;27.06.2022;147
5500030811;Расширение структуры транзакционных данн;В разработке ЧТЗ;UPP_NS;04.10.2021;25.02.2022;07.02.2022;01.07.2022;144
5500030812;Расширение структуры транзакционных данн;В разработке ЧТЗ;UPP_AERO;04.10.2021;28.02.2022;17.03.2022;11.08.2022;147
5500030813;Расширение структуры транзакционных данн;В разработке ЧТЗ;UPP_MB;04.10.2021;28.02.2022;22.05.2022;16.10.2022;147
5500030814;Интеграция ИС ГеоБД с системой КЛАД DW (;В согласовании.Менеджер процесса;GEOBD;04.10.2021;07.10.2021;21.04.2022;22.04.2022;1
5500030815;Доработка технической роли для интеграци;В работе;NSI_ESMUR;04.10.2021;12.11.2021;08.04.2022;17.05.2022;39
5500030816;Оптимизация процесса 12.02.07 «Учет инци;Согласование ЧТЗ ДКЗ;SEVBB;04.10.2021;10.01.2022;29.04.2022;05.08.2022;98
5500030817;Автоматизация процесса работы с ошибками;Приемка Сервис Менеджером;SKIB;04.10.2021;31.12.2021;13.02.2022;08.05.2022;84
5500030819;Проблемы в транзакциях ZCLEAR и FB05/ FB;Отклонен;SAPFIR;05.10.2021;-;;;-
5500030820;Требуется настроить SSO для всех мандант;В работе;SAP_BASIS;05.10.2021;18.02.2022;27.05.2022;10.10.2022;136
5500030821;Расширение структуры транзакционных данн;В разработке ЧТЗ;KHD_BEF;05.10.2021;24.04.2022;06.04.2022;24.10.2022;201
5500030822;646 НСИ: Ответственные лица организации.;Приемка Сервис Менеджером;ERP_KFSCH;05.10.2021;29.12.2021;16.01.2022;07.04.2022;81
5500030823;Получение данных о допусках, удостоверен;Проверка Координатором;ZUP;05.10.2021;18.10.2021;15.05.2022;26.05.2022;11
5500030824;Получение данных о допусках, удостоверен;Отклонен;SAP_HR;05.10.2021;-;;;-
5500030825;Получение данных о допусках, удостоверен;В разработке ЧТЗ;KSHD;05.10.2021;17.03.2022;06.06.2022;16.11.2022;163
5500030826;Размещение обновленных проформ типовых Д;В разработке ЧТЗ;OFERTA;05.10.2021;29.12.2021;20.03.2022;13.06.2022;85
5500030827;1201 Доработка формы Ш-14.03.03-05;Закрыт;SAP_HR;05.10.2021;-;;;-
5500030828;1201 Доработка формы Ш-14.03.06-28;В работе;SAP_HR;05.10.2021;30.12.2021;21.03.2022;15.06.2022;86
5500030829;АСУЗ;Приемка Сервис Менеджером;OFERTA;05.10.2021;10.01.2022;04.03.2022;05.06.2022;93
5500030831;Перекладка покупки МТБЭ между ВБЕ ПАО;В разработке ЧТЗ;SPO;05.10.2021;14.01.2022;14.04.2022;24.07.2022;101
5500030832;Получение данных о наградах из кадровых;Отклонен;ZUP;05.10.2021;-;;;-
5500030833;Получение данных о наградах из кадровых;Отклонен;SAP_HR;05.10.2021;-;;;-
5500030834;Получение данных о наградах из кадровых;Отклонен;KSHD;05.10.2021;-;;;-
5500030835;Деактивировать в ОЗОС поля «Фонд, ПФМ, Ф;Приемка Сервис Менеджером;SAPFIR;05.10.2021;31.12.2021;05.03.2022;27.05.2022;83
5500030836;Миграция BPC на новую HANA;Закрыт;SAP_BASIS;05.10.2021;-;;;-
5500030837;Оптимизация процесса контроля несогласов;В разработке ЧТЗ;SKIB;05.10.2021;14.01.2022;02.03.2022;11.06.2022;101
5500030838;Настройка интеграции с ARIS ДРП и BI ДРП;В разработке ЧТЗ;KSU_NSI;05.10.2021;28.01.2022;13.06.2022;06.10.2022;115
5500030839;СППР 00-00000795: Переход на новую верси;В ожидании акта от подрядчика;ERP_KFSCH;05.10.2021;17.02.2022;08.01.2022;17.02.2022;39
5500030840;"СППР 00-00000829: Доработка модуля ""Конт";В ожидании акта от подрядчика;ERP_KFSCH;05.10.2021;04.03.2022;08.01.2022;04.03.2022;54
5500030841;Доработка «ЕСОН АРМ». Установка таймауто;Согласование ЧТЗ ДЗКСУ;ESON;05.10.2021;31.12.2021;06.06.2022;01.09.2022;87
5500030842;Доработка функционала ИС «ЕСОН-АРМ» АТ М;В согласовании.Менеджер процесса;ESON;06.10.2021;15.11.2021;29.05.2022;06.07.2022;38
5500030843;Доработки транзакции ZINMM772 позиции с\;В разработке ЧТЗ;OFERTA;06.10.2021;24.12.2021;21.03.2022;08.06.2022;79
5500030844;Оформление некоммерческих грузов в ИС «Е;В работе;ESON;06.10.2021;28.12.2021;26.05.2022;17.08.2022;83
5500030845;Доработка отчета «Штатное расписание по;Закрыт;ZUP;06.10.2021;-;;;-
5500030846;Организация тестового ландшафта для  про;Приемка Сервис Менеджером;ZUP;06.10.2021;29.12.2021;24.04.2022;13.07.2022;80
5500030847;Организация и проведение тестирование ре;В работе;ZUP;06.10.2021;14.02.2022;28.04.2022;06.09.2022;131
5500030848;Выгрузка метаданных из 1С АСУА Аэро, 1С;Согласование ЧТЗ ВБР;TOIR_AERO;06.10.2021;31.12.2021;27.03.2022;21.06.2022;86
5500030849;"Выгрузка метаданных из 1С УПП МБ; 1С УПП";Согласование ЧТЗ Архитектором;UPP_MB;06.10.2021;28.12.2021;24.05.2022;15.08.2022;83
5500030850;Выгрузка метаданных из 1С ТОиР МБ и смеж;Дополнительное согласование ЧТЗ;TOIR_BUNKE;06.10.2021;17.12.2021;27.03.2022;07.06.2022;72
5500030851;Проверка-заполнение БА заявок и DMS;В разработке ЧТЗ;KSHD;06.10.2021;14.04.2022;07.06.2022;14.12.2022;190
5500030852;Проверка-заполнение БА заявок и DMS;В согласовании.Владелец шаблона;NEW_SED;06.10.2021;12.10.2021;03.06.2022;07.06.2022;4
5500030853;Расширение структуры транзакционных данн;В разработке ЧТЗ;KSHD;06.10.2021;04.04.2022;07.06.2022;04.12.2022;180
5500030854;Расширение структуры транзакционных данн;В разработке ЧТЗ;ERP_KFSCH;06.10.2021;31.12.2021;02.02.2022;29.04.2022;86
5500030855;Расширение структуры транзакционных данн;В разработке ЧТЗ;UPP_NS;06.10.2021;28.02.2022;09.02.2022;04.07.2022;145
5500030856;Расширение структуры транзакционных данн;В разработке ЧТЗ;UPP_AERO;06.10.2021;28.02.2022;19.03.2022;11.08.2022;145
5500030857;Расширение структуры транзакционных данн;В разработке ЧТЗ;UPP_MB;06.10.2021;31.01.2022;24.05.2022;18.09.2022;117
5500030858;СПО Добавление элементов в измерение Acc;Согласование оценки Арх ИТ-реш;SPO;06.10.2021;23.11.2021;10.04.2022;26.05.2022;46
5500030859;Причины приостановки работ для ОЦО;В ожидании акта от подрядчика;KSUIT;06.10.2021;10.03.2022;09.02.2022;10.03.2022;28
5500030860;Оценка обслуживания;В ожидании акта от подрядчика;PORTALSELF;06.10.2021;15.03.2022;28.05.2022;15.03.2022;-
5500030861;Необходимо из OIS+ в ИС ШТР настроить ин;В разработке ЧТЗ;SHAHMATKA;06.10.2021;30.06.2022;24.07.2022;17.04.2023;267
5500030862;Разработать подсистему «Управление досту;Приемка Сервис Менеджером;SKIB;06.10.2021;31.12.2021;15.02.2022;08.05.2022;82
5500030863;Реализация блокирования использования М;Согласование ЧТЗ ДКЗ;OFERTA;06.10.2021;27.12.2021;21.03.2022;11.06.2022;82
5500030864;Добавление полномочий в роль;В ожидании акта от подрядчика;SK_FO;06.10.2021;15.03.2022;22.04.2022;15.03.2022;-
5500030865;Реализаия возможности перехода в транзак;В работе;OFERTA;06.10.2021;15.03.2022;09.03.2022;16.08.2022;160
5500030866;798Доработки ERP-ДО. Настройка интеграци;В ожидании акта от подрядчика;ERP_KFSCH;06.10.2021;09.03.2022;09.01.2022;09.03.2022;58
5500030867;Модернизация возможности поиска запасов;В работе;OFERTA;06.10.2021;15.03.2022;09.03.2022;16.08.2022;160
5500030868;Обеспечение возможность перекодировки МТ;Отклонен;OFERTA;06.10.2021;-;;;-
5500030869;Разработка интерактивной инструкции;В разработке ЧТЗ;PORTAL_BB;06.10.2021;13.02.2022;25.06.2022;02.11.2022;130
5500030870;"Настройка шаблона УЗ для БЕ 1110 ООО ""Га";Приемка Сервис Менеджером;AO_MTO;08.10.2021;31.12.2021;19.04.2022;08.07.2022;80
5500030871;Организация и проведение переноса данных;Приемка Сервис Менеджером;ZUP;06.10.2021;27.12.2021;24.04.2022;11.07.2022;78
5500030872;Настройка интеграции с Новый СЭД (Tessa);В разработке ЧТЗ;NEW_SED;06.10.2021;28.02.2022;30.05.2022;22.10.2022;145
5500030873;Экспертиза организационных и стратегичес;Отклонен;ISUP_GPN;07.10.2021;-;;;-
5500030874;Экспертиза организационных и стратегичес;Отклонен;ISUP_GPN;07.10.2021;-;;;-
5500030875;Экспертиза организационных и стратегичес;Отклонен;ISUP_GPN;07.10.2021;-;;;-
5500030876;Доработки карточек мероприятий по запрос;Отклонен;ISUP_GPN;07.10.2021;-;;;-
5500030877;Доработки карточек ИТАТ-проектов по запр;Отклонен;ISUP_GPN;07.10.2021;-;;;-
5500030878;Модели данных Qlik Sence и Qlik View  по;Отклонен;ISUP_GPN;07.10.2021;-;;;-
5500030879;Доработка ЖЦ ЦП и Упрощение версионности;Отклонен;ISUP_GPN;07.10.2021;-;;;-
5500030880;Доработки карточек цифровых проектов по;Отклонен;ISUP_GPN;07.10.2021;-;;;-
5500030881;Модели данных Qlik Sence и Qlik View  по;В разработке ЧТЗ;ISUP_GPN;07.10.2021;24.12.2021;19.03.2022;05.06.2022;78
5500030882;Доработка карточек технологических проек;Отклонен;ISUP_GPN;07.10.2021;-;;;-
5500030883;Миграция BPC на новую HANA;Отклонен; ;07.10.2021;-;;;-
5500030884;Модуль согласования технических заданий;Отклонен;NEW_SED;07.10.2021;-;;;-
5500030885;Интеграция КСУИТ 2.0 - СУМ;В работе;KSUIT;07.10.2021;31.01.2022;22.02.2022;18.06.2022;116
5500030886;Обеспечить возможность переназначения об;В работе;KSUIT;07.10.2021;31.01.2022;22.02.2022;18.06.2022;116
5500030887;Изменение процесса распределения и зачет;В работе;SAPFIR;07.10.2021;30.01.2022;11.03.2022;04.07.2022;115
5500030888;Уменьшение пакета обмена ШЕРПА-ДОБ 2.1 п;В работе;ERP_KFSCH;07.10.2021;31.12.2021;22.01.2022;17.04.2022;85
5500030889;«Для обеспечения корректной интеграции м;В работе;OIS_PLUS;07.10.2021;08.02.2022;04.09.2022;06.01.2023;124
5500030890;Разработать и доработать формы инвентари;В работе;SAPFIR;07.10.2021;31.01.2022;11.03.2022;05.07.2022;116
5500030891;"Модернизация функционала ""Новости КСУИТ""";В ожидании акта от подрядчика;KSUIT;07.10.2021;17.03.2022;10.02.2022;17.03.2022;34
5500030892;Создание дополнительного контроля при ра;В разработке ЧТЗ;OFERTA;07.10.2021;31.12.2021;22.03.2022;15.06.2022;85
5500030893;Дополнительный справочник Администратора;В работе;KSUIT;07.10.2021;25.01.2022;22.02.2022;12.06.2022;110
5500030894;Исключение проверки связи БУ-РГ-ОУ;В работе;KSUIT;07.10.2021;28.01.2022;22.02.2022;15.06.2022;113
5500030895;Необходимо подгружать данные по курсам в;Отклонен;SK_FO;07.10.2021;-;;;-
5500030896;Справочники ГИС ТЭК КЦ в 1С КСУ НСИ;Оценка объема работ;KSU_NSI;07.10.2021;27.12.2021;15.06.2022;30.08.2022;76
5500030897;Изменение коэффициента ежемес.премии при;В разработке ЧТЗ;ZUP;08.10.2021;15.08.2022;12.05.2022;19.03.2023;311
5500030898;1201 Доработка формы Ш-14.03.06-28;Отклонен;SAP_HR;08.10.2021;-;;;-
5500030899;1201 Разработка форм Ш-14.03.08-20, Ш-14;В ожидании акта от подрядчика;SAP_HR;08.10.2021;17.03.2022;12.03.2022;17.03.2022;5
5500030900;U180001201 № 3 Ролики на платформе Uperf;Закрыт;SAP_HR;08.10.2021;-;;;-
5500030901;Создание витрины данных БД ГРР для КЛАД;Согласование ЧТЗ Инициатором;BD_GRR;08.10.2021;28.12.2021;23.04.2022;13.07.2022;81
5500030902;Организация доступа пользователей групп;В согласовании.Владелец шаблона;DASH_GRR;11.10.2021;28.10.2021;22.02.2022;09.03.2022;15
5500030903;Добавление в личный кабинет работника ин;Проверка Координатором;SAP_HR;11.10.2021;15.10.2021;14.04.2022;16.04.2022;2
5500030904;Сменить имя «epd_ditat» на «epd» на АРМ;Отклонен;SEDTESSEPD;11.10.2021;-;;;-
5500030905;Отправка квитанций под техническим польз;В работе;SAPFIR;11.10.2021;30.12.2021;15.03.2022;03.06.2022;80
5500030907;Заполнение поля «Завод» в тр. ZINMM064;В разработке ЧТЗ;OFERTA;11.10.2021;30.04.2022;26.03.2022;13.10.2022;201
5500030908;1. Создать обработку по групповому фо;Отклонен;ERP_KFSCH;11.10.2021;-;;;-
5500030909;Развитие серверного ландшафта ПАО «Газпр;Отклонен; ;11.10.2021;-;;;-
5500030910;Вынос файловых вложений во внешние катал;В ожидании акта от подрядчика;1CDOC2X;11.10.2021;18.02.2022;30.12.2021;18.02.2022;50
5500030911;Обновление порядка исчисления транспортн;В согласовании.Дополн. участник согласования;SAPFIR;10.10.2021;13.10.2021;30.03.2022;31.03.2022;1
5500030912;Реализация новой вкладки карточки DMS;Проверка Координатором;SAPFIR;11.10.2021;20.10.2021;02.04.2022;09.04.2022;7
5500030913;Доработка системы Sap Portal в части соз;Отклонен;SAPFIR;11.10.2021;-;;;-
5500030914;Доработать регистр накопления «Продажи У;Согласование ЧТЗ ВБР;UPP_MB;11.10.2021;28.12.2021;29.05.2022;15.08.2022;78
5500030915;Интеграция SAP BW on HANA 7.5 и ПиБ HR А;В разработке ЧТЗ;KSHD;11.10.2021;14.04.2022;12.06.2022;14.12.2022;185
5500030916;Интеграция SAP BW on HANA 7.5 и ПиБ HR А;Согласование Арх-ом ИТ-решения;1CPIBAERO;11.10.2021;31.12.2021;нет БР в списке;нет БР в списке;-
5500030917;Доработка заказа поддержки;В разработке ЧТЗ;PORTALSELF;11.10.2021;29.04.2022;26.06.2022;12.01.2023;200
5500030918;Интеграционное решение предназначено для;В разработке ЧТЗ;KSU_NSI;11.10.2021;15.04.2022;19.06.2022;22.12.2022;186
5500030919;Заполнение параметров в заявке на кодиро;В работе;OFERTA;11.10.2021;15.03.2022;14.03.2022;16.08.2022;155
5500030920;Корректировка выбора данных в отчеты по;В работе;OFERTA;11.10.2021;15.03.2022;14.03.2022;16.08.2022;155
5500030921;Оптимизация  поиска документов движений;В разработке ЧТЗ;OFERTA;11.10.2021;25.02.2022;26.03.2022;10.08.2022;137
5500030922;Разработка транзакции по сверке класса о;В разработке ЧТЗ;OFERTA;11.10.2021;31.12.2021;26.03.2022;15.06.2022;81
5500030923;Реализация преднастроенного шаблона отче;Согласование ИТ БП;OFERTA;11.10.2021;30.12.2021;19.03.2022;05.06.2022;78
5500030924;Расширение интеграции ИС 1С ПБ в КЛАД DW;Согласование Арх-ом ИТ-решения;RHD_KC;11.10.2021;17.11.2021;02.05.2022;06.06.2022;35
5500030925;Автоматизировать процесс выявления несоо;В работе;OFERTA;12.10.2021;30.05.2022;15.03.2022;31.10.2022;230
5500030926;Интеграция SAP с ИС Атлас;В разработке ЧТЗ;KSHD;12.10.2021;31.03.2022;13.06.2022;30.11.2022;170
5500030927;1201 Разработка форм Ш-14.03.06-27;В работе;SAP_HR;12.10.2021;30.12.2021;28.03.2022;15.06.2022;79
5500030928;Интеграция SAP с ИС Атлас;Отклонен;ATLAS;12.10.2021;-;;;-
5500030929;1201 Доработка формы Ш-14.03.08-12;В работе;SAP_HR;12.10.2021;30.12.2021;28.03.2022;15.06.2022;79
5500030930;1201 Доработка форм Ш-14.03.08-10, Ш-14.;В работе;SAP_HR;12.10.2021;30.12.2021;28.03.2022;15.06.2022;79
5500030931;Модернизация интеграции СУИД - AD;Расширение объема;SUID;12.10.2021;30.12.2021;06.06.2022;22.08.2022;77
5500030932;Создание кнопок автоматического назначен;В работе;KSUIT;12.10.2021;31.01.2022;27.02.2022;18.06.2022;111
5500030933;Получение данных о пользователях SAP-сис;В разработке ЧТЗ;KSHD;12.10.2021;31.03.2022;13.06.2022;30.11.2022;170
5500030935;Добавление множетсвенного выбора БЕ zinm;В разработке ЧТЗ;OFERTA;13.10.2021;30.04.2022;28.03.2022;13.10.2022;199
5500030936;Программа «УСОИ»;Оценка объема работ;OIS_USOI;13.10.2021;24.12.2021;17.05.2022;23.07.2022;67
5500030937;Добавление для затратных счетов 35* анал;В работе;KHD_BEF;13.10.2021;27.12.2021;02.04.2022;16.06.2022;75
5500030938;Внедрение контролей для решения проблем;В работе;SAPFIR;13.10.2021;31.01.2022;17.03.2022;05.07.2022;110
5500030940;База цен (АСУЗ): Расширение функционала;В разработке ЧТЗ;OFERTA;13.10.2021;31.01.2022;28.03.2022;16.07.2022;110
5500030941;Временная схема передачи ЕСМ;В согласовании.Менеджер процесса;NSI_ESMUR;13.10.2021;18.10.2021;20.04.2022;23.04.2022;3
5500030942;Обеспечение программного контроля указан;Отклонен;1CDOC2X;13.10.2021;-;;;-
5500030943;«Если отсутствует параметр Qж(ТМ) то не;В разработке ЧТЗ;SHAHMATKA;13.10.2021;30.06.2022;31.07.2022;17.04.2023;260
5500030944;«Интеграция данных по ГРП из Эра-Ремонты;В разработке ЧТЗ;SHAHMATKA;13.10.2021;30.06.2022;31.07.2022;17.04.2023;260
5500030945;Копирование МВК внутри куба CONS;В разработке ЧТЗ;SPO;13.10.2021;14.01.2022;22.04.2022;24.07.2022;93
5500030946;Исключение к выбору перечня Вида докумен;В ожидании акта от подрядчика;1CDOC2X;13.10.2021;02.02.2022;01.01.2022;02.02.2022;32
5500030947;Реализация новой печатной формы для форм;В ожидании акта от подрядчика;1CDOC2X;13.10.2021;27.01.2022;01.01.2022;27.01.2022;26
5500030948;Автозаполнение НД в карточке внутреннего;В ожидании акта от подрядчика;1CDOC2X;13.10.2021;27.01.2022;01.01.2022;27.01.2022;26
5500030949;Модернизация модуля СЭД «Должностные инс;Согласование оценки Арх ИТ-реш;SED_HR;13.10.2021;22.12.2021;20.05.2022;27.07.2022;68
5500030950;Доработка модуля СЭД «Должностные инстру;Проверка Координатором;SED_HR;13.10.2021;27.10.2021;31.05.2022;12.06.2022;12
5500030951;Создание ЛК для размещения ЛНД;В согласовании.Менеджер процесса;PORTAL_NEN;13.10.2021;19.10.2021;19.03.2022;23.03.2022;4
5500030952;Модернизация модуля СЭД «Должностные инс;Проверка Координатором;SED_HR;13.10.2021;27.10.2021;31.05.2022;12.06.2022;12
5500030953;Разработка мобильного согласования в мод;Проверка Координатором;SED_HR;13.10.2021;27.10.2021;31.05.2022;12.06.2022;12
5500030954;Публикация на портале актуальных должнос;Проверка Координатором;SED_HR;13.10.2021;27.10.2021;31.05.2022;12.06.2022;12
5500030955;Маркировка МТР: контроль;В разработке ЧТЗ;OFERTA;13.10.2021;31.12.2021;28.03.2022;15.06.2022;79
5500030956;Доработка логики рассылок МОЛам;В работе;OFERTA;13.10.2021;28.01.2022;16.03.2022;01.07.2022;107
5500030957;Доработка SAP ESS – работы по УЗ;Оценка объема работ;SAP_HR;13.10.2021;24.12.2021;10.04.2022;16.06.2022;67
5500030958;ТФД договора поставки МТР (рамочный (пер;В работе;OFERTA;13.10.2021;28.01.2022;16.03.2022;01.07.2022;107
5500030959;Реализовать проверку на дублирование по;В согласовании.Менеджер процесса;NSI_ESMUR;13.10.2021;18.10.2021;20.04.2022;23.04.2022;3
5500030960;Автоматизация расчета показателей КТ-687;В работе;OFERTA;13.10.2021;02.03.2022;16.03.2022;03.08.2022;140
5500030961;Связь ММ-цепочки и Авансовых платежей;В разработке ЧТЗ;OFERTA;13.10.2021;31.12.2021;28.03.2022;15.06.2022;79
5500030962;Передача атрибутов PSE Tier 1-3 из 1С:ТО;В разработке ЧТЗ;TOIR_AERO;14.10.2021;11.11.2021;04.04.2022;02.05.2022;28
5500030963;Передача атрибутов PSE Tier 1-3 из DWH Б;В согласовании.Владелец шаблона;UD_BLPS_HD;14.10.2021;17.11.2021;19.05.2022;20.06.2022;32
5500030964;Доработка методов прямого и косвенного р;В разработке ЧТЗ;OIS_PLUS;14.10.2021;24.12.2021;23.09.2022;03.12.2022;71
5500030965;Внедрение контролей для решения проблем;В работе;SBYT;14.10.2021;30.12.2021;03.03.2022;19.05.2022;77
5500030966;Установка нот безопасности в системы SAP;В работе;SAP_BASIS;14.10.2021;24.02.2022;05.06.2022;16.10.2022;133
5500030967;Реализация опции подписания НМД УКЭП.;В разработке ЧТЗ;SED_NMD;14.10.2021;31.03.2022;14.06.2022;29.11.2022;168
5500030968;Интеграция АСУТП ГПН-Ямал с системой КЛА;В согласовании.Менеджер процесса;KLAD;14.10.2021;10.11.2021;03.05.2022;28.05.2022;25
5500030969;Автоматическое проставление признака рег;Согласование ЧТЗ Инициатором;KSU_NSI;15.10.2021;29.12.2021;23.06.2022;06.09.2022;75
5500030970;Автоматическое заполнение поля ТипТовара;Согласование ЧТЗ Инициатором;KSU_NSI;15.10.2021;29.12.2021;23.06.2022;06.09.2022;75
5500030971;Необходимо доработать создание ЭД по реа;Оценка объема работ;SAPFIR;13.10.2021;13.01.2022;29.03.2022;24.06.2022;87
5500030972;Корректировка отчёта робота;В разработке ЧТЗ;ERP_KFSCH;13.10.2021;25.02.2022;09.02.2022;24.06.2022;135
5500030973;1201 Доработка форм Ш-14.03.03-04;Приемка Сервис Менеджером;SAP_HR;14.10.2021;31.12.2021;26.03.2022;08.06.2022;74
5500030974;Тиражирование модуля СЭД «Должностные ин;В согласовании.Владелец шаблона;SED_HR;14.10.2021;20.10.2021;30.05.2022;03.06.2022;4
5500030975;Настройка портального решения МТО для пе;Согласование ЧТЗ Архитектором;OFERTA;14.10.2021;30.12.2021;29.03.2022;14.06.2022;77
5500030976;Отключение ПАО ГПН и ГПН Восток от функц;В разработке ЧТЗ;SAP_HR;14.10.2021;31.12.2021;11.04.2022;28.06.2022;78
5500030977;Автоматическое заполнение поля «Плановый;Проверка Координатором;ERP_KFSCH;14.10.2021;17.11.2021;16.02.2022;20.03.2022;32
5500030978;Измененение проверок даты инициирования;В разработке ЧТЗ;OFERTA;14.10.2021;28.02.2022;29.03.2022;13.08.2022;137
5500030980;Доработка ПО по переносу часов недоработ;Закрыт;SAP_HR;14.10.2021;-;;;-
5500030981;Настройка портального решения МТО для пе;В разработке ЧТЗ;OFERTA;14.10.2021;31.12.2021;29.03.2022;15.06.2022;78
5500030982;Создание ролей для работы в АС «Планиров;В работе;OFERTA;14.10.2021;-;17.03.2022;та же;#ЗНАЧ!
5500030983;Регулярная выгрузка справочника ЕСИС;В согласовании.Владелец шаблона;KSU_NSI;14.10.2021;19.10.2021;26.06.2022;29.06.2022;3
5500030984;Добавление в Аналитические отчеты по зап;В разработке ЧТЗ;OFERTA;14.10.2021;31.12.2021;29.03.2022;15.06.2022;78
5500030985;Тиражирование шаблона Управление запасам;В разработке ЧТЗ;OFERTA;14.10.2021;18.03.2022;29.03.2022;31.08.2022;155
5500030987;Экспорт данных в КСУ НСИ ЕСИС из СУК;В разработке ЧТЗ;KSHD;18.10.2021;18.03.2022;19.06.2022;17.11.2022;151
5500030988;Разработать отчет в BI Publisher по заяв;В разработке ЧТЗ;SUID;18.10.2021;14.01.2022;24.06.2022;20.09.2022;88
5500030989;Доработка в части форм «Оценки уровня ка;В разработке ЧТЗ;SNAB_PORT;18.10.2021;22.11.2021;13.04.2022;18.05.2022;35
5500030990;Косвенный и прямой методы определния кол;В разработке ЧТЗ;SHAHMATKA;18.10.2021;30.07.2022;05.08.2022;17.05.2023;285
5500030991;Заполнение поля Группа подакцизных товар;Согласование ЧТЗ Инициатором;KSU_NSI;15.10.2021;29.12.2021;23.06.2022;06.09.2022;75
5500030992;Автоматическое присвоение ОКП в справочн;Согласование ЧТЗ Инициатором;KSU_NSI;15.10.2021;29.12.2021;23.06.2022;06.09.2022;75
5500030993;Автоматизация проверки ролей;В разработке ЧТЗ;SKIB;15.10.2021;31.01.2022;12.03.2022;28.06.2022;108
5500030994;Доработка системы 1С БСП САБИ (Отчетност;Согласование Менеджером проц-а;SABI_PNPO;15.10.2021;31.12.2021;26.03.2022;09.06.2022;75
5500030995;Доработка системы 1С БСП САБИ (Отчетност;Согласование ЧТЗ ДЗКСУ;SABI_PNPO;15.10.2021;10.01.2022;04.04.2022;30.06.2022;87
