Номер;Описание изменения;Текущий статус изменения;Бизнес-решение;Дата регистрации ЗНИ;Плановая дата выхода из текущего статуса;Дата реализации на старте;Дата реализации с текущим статусом;Просрочка, дней
5500028238;Реализация прямой интеграции между ИС ДП;Оценка объема работ;KSU_NSI;29.03.2021;23.11.2021;05.12.2021;27.07.2022;234
5500028239;Доработка системы 1С БСП САБИ (Договор о;Закрыт;SABI_PNPO;29.03.2021;-;;;-
5500028240;Доработка веб итерфейса, модификация отч;В работе;SHAHMATKA;29.03.2021;15.07.2023;02.01.2022;19.04.2024;838
5500028241;Установка стека SPS 15 в системе SAP ERP;Закрыт;TORO_NPZ;29.03.2021;-;;;-
5500028242;Установка стека SPS 15 в системе SAP ERP;В ожидании акта от подрядчика;SABI;29.03.2021;17.09.2021;22.08.2021;17.09.2021;26
5500028243;СППР 210;В ожидании акта от подрядчика;ERP_KFSCH;29.03.2021;27.08.2021;02.07.2021;27.08.2021;55
5500028244;SAP-ДО 2.1: досвязывание ШК;В ожидании акта от подрядчика;1CDOC2X;29.03.2021;31.01.2022;17.06.2021;31.01.2022;228
5500028245;Отправка уведомлений на инициатора «Заме;В ожидании акта от подрядчика;1CDOC2X;29.03.2021;28.10.2021;17.06.2021;28.10.2021;133
5500028246;"ЮЗЭДО: Передавать данные из реквизита ""К";В ожидании акта от подрядчика;1CDOC2X;29.03.2021;28.10.2021;17.06.2021;28.10.2021;133
5500028247;Конвертация Физ.лиц в справочник Пользов;В ожидании акта от подрядчика;1CDOC2X;29.03.2021;28.10.2021;17.06.2021;28.10.2021;133
5500028248;Ограничение редактирования справочников;В ожидании акта от подрядчика;1CDOC2X;29.03.2021;10.11.2021;17.06.2021;10.11.2021;146
5500028249;Корректировка механизма формирования и о;В ожидании акта от подрядчика;1CDOC2X;29.03.2021;28.10.2021;17.06.2021;28.10.2021;133
5500028250;Обеспечение передачи данных о графике от;В разработке ЧТЗ;EKUZ;29.03.2021;30.11.2021;20.09.2021;24.05.2022;246
5500028251;Интеграция FriendWork Recruiter и SAP HR;Приемка Сервис Менеджером;KSHD;29.03.2021;07.10.2021;12.11.2021;19.05.2022;188
5500028252;Автоматизация расчетов норм управляемост;Согласование ИТ БП;KHD_HR;29.03.2021;12.11.2021;21.09.2021;05.05.2022;226
5500028253;Разработка нового каталога «Навигатор об;Закрыт;WEB_TUTOR;29.03.2021;-;;;-
5500028254;Интеграция хранилища данных БЛПС с 1С КС;В работе;KSHD;29.03.2021;25.02.2022;16.11.2021;15.10.2022;333
5500028255;Обновление решения «Формы» для записи на;Закрыт;FORMS;29.03.2021;-;;;-
5500028256;Доработка витрины данных по передаче инф;Закрыт;AO_MTO;29.03.2021;-;;;-
5500028257;Необходимо добавить проверки на соответс;В работе;SAPFIR;29.03.2021;28.01.2022;31.08.2021;02.07.2022;305
5500028259;Изучение причины и цели формирования зад;Закрыт;OFERTA;30.03.2021;-;;;-
5500028260;Загрузка транзакционных данных налоговог;Приемка Архитектором ИТ-решени;KHD_BEF;30.03.2021;12.01.2022;09.09.2021;20.06.2022;284
5500028261;Загрузка вложений ZINDAC001 (нескольких;Согласование ЧТЗ Инициатором;OFERTA;30.03.2021;30.08.2021;12.09.2021;12.02.2022;153
5500028263;Housekeeping для процессов BPM SAP PO;Оценка объема работ;KSHD;30.03.2021;01.10.2021;29.11.2021;28.05.2022;180
5500028264;Интеграция между КСУИТ и OTRS;В работе;KSUIT;30.03.2021;30.01.2022;15.08.2021;17.06.2022;306
5500028265;Разработка механизмов по автоматической;В ожидании акта от подрядчика;SBYT;30.03.2021;23.12.2021;05.08.2021;23.12.2021;139
5500028266;Доработка витрины данных по передаче инф;В ожидании акта от подрядчика;OFERTA;30.03.2021;10.09.2021;19.08.2021;10.09.2021;21
5500028267;Доработка  роли для RPA-робота «Аккредит;В ожидании акта от подрядчика;OFERTA;30.03.2021;23.09.2021;19.08.2021;23.09.2021;34
5500028268;Разработка отчета по количеству запросов;Отклонен;SED_HR;30.03.2021;-;;;-
5500028269;Тр. ZUKS026 – добавление поля «Комментар;В работе;OFERTA;30.03.2021;09.12.2021;31.08.2021;12.05.2022;254
5500028270;Загрузка транзакционных данных налоговог;В работе;UPP_NS;30.03.2021;30.12.2021;22.07.2021;23.04.2022;275
5500028273;Обновление решения «Викторины» для теста;Закрыт;VIKTORINI;31.03.2021;-;;;-
